2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
42110,Goyder (DC),4177.876762,947.3330846,236,5,42,SA,30,5,NA,865.0309021,1036.381323,0
42250,Grant (DC),7840.157556,939.492961,202,4,36,SA,26,4,NA,800.8029178,1039.119233,0
42600,Holdfast Bay (C),34645.999,1065.688328,500,9,89,SA,63,9,NA,925.4247682,1149.270436,0
42750,Kangaroo Island (DC),4415,969.8141279,336,6,60,SA,43,6,NA,889.2243419,1027.859289,0
43080,Karoonda East Murray (DC),1035.26403,1005.539377,440,8,78,SA,57,8,NA,953.6889267,1035.809822,0
43220,Kimba (DC),1087.33472,999.1932271,426,8,76,SA,55,8,NA,930.3506364,1087.537168,0
43360,Kingston (DC),2290,946.7901137,234,5,42,SA,29,5,NA,883.9501355,1055.925993,0
43650,Light (RegC),13785.11582,965.0863685,315,6,56,SA,40,6,NA,845.7642526,1066.163503,0
43710,Lower Eyre Peninsula (DC),4916.014869,974.9298855,353,7,63,SA,45,7,NA,897.4226701,1112.13212,0
43790,Loxton Waikerie (DC),11265.54342,927.4963631,143,3,26,SA,20,3,NA,789.694873,1019.694637,0
43920,Mallala (DC),8333,905.2440384,66,2,12,SA,13,2,NA,840.962381,1015.648768,0
44000,Maralinga Tjarutja (AC),73.3121616,903.9238123,58,2,11,SA,11,2,NA,903.9238123,903.9238123,0.004257978
44060,Marion (C),83005.00099,1005.73452,441,8,79,SA,58,9,NA,814.5537947,1115.996787,0.000469851
44210,Mid Murray (DC),8134.236089,908.9762675,76,2,14,SA,14,2,NA,826.1202695,1006.087993,0
44340,Mitcham (C),62912,1104.24719,523,10,93,SA,67,10,NA,868.1145505,1193.402392,0.008090666
44550,Mount Barker (DC),29806.39294,1010.579606,454,9,81,SA,60,9,NA,877.5909221,1145.771809,0
44620,Mount Gambier (C),25253.72922,895.1400309,44,1,8,SA,8,2,NA,651.8700214,1052.586141,0
44830,Mount Remarkable (DC),2868.074185,988.8210743,395,7,70,SA,50,7,NA,900.4035921,1062.549881,0
45040,Murray Bridge (RC),19741.95746,869.2453194,25,1,5,SA,2,1,NA,719.9497965,1011.314399,0.019501612
45090,Naracoorte and Lucindale (D,8118,952.348142,262,5,47,SA,34,5,NA,788.1013085,1107.441914,0
45120,Northern Areas (DC),4496.500012,973.6660828,345,7,62,SA,44,7,NA,905.3656715,1064.308979,0
