2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
13700,Harden (A),3573.757691,933.0364436,150,3,27,NSW,35,3,23,814.6641467,1044.633555,0
13800,Hawkesbury (C),62323.94955,1016.81523,448,8,80,NSW,118,8,77,767.3577323,1155.834731,0.00364226
13850,Hay (A),2939.965291,915.3139423,97,2,18,NSW,21,2,14,840.7761088,1047.038368,0
13950,Holroyd (C),99174.21219,971.7181042,309,6,55,NSW,91,6,60,770.247911,1204.966313,0.000151249
14000,Hornsby (A),156862.4359,1105.904863,546,10,97,NSW,143,10,93,890.1128013,1211.419342,0.001064627
14100,Hunters Hill (A),13221,1122.56182,553,10,98,NSW,146,10,95,929.1760219,1203.030442,0.042281219
14150,Hurstville (C),78827.79396,1017.809323,450,8,80,NSW,119,8,78,711.8713661,1152.983831,0.000444006
14200,Inverell (A),16078.01439,912.0487057,92,2,17,NSW,18,2,12,643.4464204,1070.403593,0
14250,Jerilderie (A),1492,982.8690297,356,7,64,NSW,101,7,66,849.9483218,1086.004138,0
14300,Junee (A),5880.851358,931.9980143,147,3,27,NSW,34,3,23,839.3685206,1101.471285,0.133484074
14350,Kempsey (A),28126.47463,875.7844635,47,1,9,NSW,4,1,3,463.7088261,1067.871241,0.021581091
14400,Kiama (A),19992.79785,1050.402566,503,9,90,NSW,129,9,84,883.4186508,1111.471202,0.000200072
14450,Kogarah (C),55792,1050.709156,505,9,90,NSW,131,9,86,940.0954753,1160.746587,5.37711E-05
14500,Ku-ring-gai (A),109279.4794,1154.519819,563,10,100,NSW,153,10,100,1016.426077,1213.608409,2.74525E-05
14550,Kyogle (A),9231.498626,902.2923062,70,2,13,NSW,11,1,8,524.033101,992.6530378,0
14600,Lachlan (A),6469.683743,933.9865955,155,3,28,NSW,39,3,26,746.5101928,1083.654913,0.008346621
14650,Lake Macquarie (C),188984.9993,985.2658612,369,7,66,NSW,106,7,69,569.2356338,1156.912241,0.005090348
14700,Lane Cove (A),31524,1130.205313,558,10,99,NSW,151,10,99,1005.9216,1206.166633,0
14750,Leeton (A),11014.37487,938.2970576,176,4,32,NSW,50,4,33,731.2904264,1066.050799,0.005901379
14800,Leichhardt (A),52195.98194,1104.876855,545,10,97,NSW,142,10,93,792.453122,1171.35781,0.001781746
14850,Lismore (C),42770.43057,945.8188818,216,4,39,NSW,66,5,43,701.418532,1113.308649,9.35226E-05
14870,Lithgow (C),20142.04009,915.9738779,99,2,18,NSW,22,2,15,623.2703575,1104.561617,0.015738227
14900,Liverpool (C),180172.0712,968.3076917,293,6,52,NSW,88,6,58,455.7554433,1176.541148,0.003091484
14920,Liverpool Plains (A),7489.982364,913.0065121,93,2,17,NSW,19,2,13,638.6093572,1037.295207,0
14950,Lockhart (A),3005.859638,983.4033655,358,7,64,NSW,102,7,67,903.5342916,1065.132146,0.000998051
15050,Maitland (C),67443.29651,986.0691052,371,7,66,NSW,107,7,70,629.8610308,1166.926137,0.000207582
15150,Manly (A),39737.00099,1125.489438,554,10,99,NSW,147,10,96,974.2002111,1193.428457,0.001535093
15200,Marrickville (A),76448.42374,1043.215251,492,9,88,NSW,127,9,83,592.2433643,1161.441387,0.000960435
15270,Mid-Western Regional (A),22299.79603,950.9285316,234,5,42,NSW,72,5,47,757.4493983,1120.695692,0
15300,Moree Plains (A),13415.21234,917.00005,103,2,19,NSW,23,2,15,473.308777,1113.754129,0.000372711
15350,Mosman (A),27462,1137.606549,559,10,99,NSW,152,10,99,1032.142522,1206.811444,0.000218484
15500,Murray (A),6966,966.6352896,285,6,51,NSW,85,6,56,646.0954496,1070.194229,0
15550,Murrumbidgee (A),2262.000994,919.3469808,109,2,20,NSW,25,2,17,819.2648839,1056.500499,0
15650,Muswellbrook (A),15789,958.8352355,252,5,45,NSW,78,6,51,650.816886,1102.005346,0
15700,Nambucca (A),18641.98075,890.6838767,60,2,11,NSW,9,1,6,724.2047099,1014.489915,0.005847018
15750,Narrabri (A),12943.999,940.3594874,185,4,33,NSW,54,4,36,760.3957004,1077.769429,0.001004326
15800,Narrandera (A),5897.481366,911.9653375,91,2,17,NSW,17,2,12,770.9441211,1053.683501,0
15850,Narromine (A),6583.049705,922.3062755,116,3,21,NSW,29,2,19,782.2113326,1066.067044,0
15900,Newcastle (C),148541.7817,990.7225447,387,7,69,NSW,110,8,72,509.0825296,1171.831487,0.007600565
15950,North Sydney (A),62300.1597,1125.592706,555,10,99,NSW,148,10,97,868.6381917,1195.350089,0.000048154
16100,Oberon (A),5026.959607,959.9274468,255,5,46,NSW,79,6,52,772.8500954,1066.569832,0.0019895
16150,Orange (C),38049,971.3648335,308,6,55,NSW,90,6,59,665.1715538,1152.210679,0.004047413
16180,Palerang (A),14345.06062,1091.036806,537,10,96,NSW,139,10,91,932.7473572,1182.358962,0
16200,Parkes (A),14588.69403,933.1792549,151,3,27,NSW,36,3,24,743.1457579,1044.998776,0
16250,Parramatta (C),166935.2157,995.5215995,400,8,71,NSW,112,8,73,718.2480901,1173.325094,0.005942451
16350,Penrith (C),178468.657,988.7622757,380,7,68,NSW,109,8,71,578.1629055,1173.607962,0.004852393
16370,Pittwater (A),57171,1114.105623,550,10,98,NSW,145,10,95,1009.666604,1178.76406,5.24742E-05
16380,Port Macquarie-Hastings (A),72700.08536,957.1950049,249,5,45,NSW,75,5,49,667.7093467,1126.079258,0.000674002
16400,Port Stephens (A),64778.8196,969.9935827,303,6,54,NSW,89,6,58,630.4457737,1211.014995,0.004059969
16470,Queanbeyan (C),37992.15183,1050.790037,506,9,90,NSW,132,9,86,776.7289819,1229.74449,0.00150031
16550,Randwick (C),129015,1062.598928,517,10,92,NSW,134,9,88,570.8229055,1233.655673,0.025330388
16610,Richmond Valley (A),22057.88784,887.6323744,56,1,10,NSW,7,1,5,649.4663587,1039.598565,0.000181341
16650,Rockdale (C),97291.003,1001.088854,410,8,73,NSW,114,8,75,816.2653446,1112.005298,0.000318663
16700,Ryde (C),103039,1066.68362,520,10,93,NSW,136,9,89,733.2378413,1179.315766,0.014635235
16900,Shellharbour (C),63587,961.4707416,261,5,47,NSW,81,6,53,712.075835,1143.134367,0.000770598
16950,Shoalhaven (C),92784.28763,944.4856904,210,4,38,NSW,63,5,41,534.8810687,1106.746553,0.003481193
17000,Singleton (A),22726.88316,1006.673045,422,8,75,NSW,116,8,76,732.8361861,1115.250477,0
