2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
33220,Fraser Coast (R),95348.20247,946.6801996,116,3,21,QLD,26,4,NA,732.664904,1147.61441,0.008946168
33360,Gladstone (R),57874.001,1040.059117,496,9,88,QLD,72,10,NA,844.0798936,1205.857355,0.000691157
33430,Gold Coast (C),494591,1008.013526,404,8,72,QLD,62,9,NA,711.6122984,1253.043508,0.002036026
33610,Goondiwindi (R),10627.47725,992.0102506,335,6,60,QLD,53,8,NA,770.698067,1182.512041,0
33620,Gympie (R),45748.72512,961.917979,169,3,30,QLD,33,5,NA,7.69E+02,1074.456025,6.55538E-05
33800,Hinchinbrook (S),11551,981.5672515,277,5,50,QLD,43,6,NA,848.4421169,1084.814214,0.003549476
33830,Hope Vale (S),987.8784796,587.3956128,10,1,2,QLD,8,2,NA,587.3956128,587.3956128,0.015061042
33960,Ipswich (C),166865.6331,983.745476,289,6,52,QLD,44,6,NA,663.2373724,1222.85331,0.003320037
33980,Isaac (R),22568,1035.628067,488,9,87,QLD,69,10,NA,937.3720714,1110.868925,0.001772421
34420,Kowanyama (S),1030,575.6919271,8,1,2,QLD,6,1,NA,575.6919271,575.6919271,0
34570,Lockhart River (S),488.47636,641.0836697,25,1,5,QLD,14,2,NA,632.3276445,822.6214159,0
34580,Lockyer Valley (R),34948.99903,991.4910957,331,6,59,QLD,52,7,NA,802.5259928,1117.941758,0.008727002
34590,Logan (C),278080,1000.944795,375,7,67,QLD,59,8,NA,687.95814,1234.730422,0.000262514
34710,Longreach (R),4196,984.4522881,294,6,53,QLD,45,7,NA,906.2475553,1123.64563,0
34770,Mackay (R),112812,1039.869385,495,9,88,QLD,71,10,NA,806.3508831,1200.076118,0.001693082
34800,McKinlay (S),1056,1029.971306,473,9,84,QLD,68,10,NA,960.6398589,1071.52063,0
34830,Mapoon (S),263.9943408,683.9018415,28,1,5,QLD,16,3,NA,683.8997621,945.4206307,0.007546592
34860,Maranoa (R),13078,1014.618871,431,8,77,QLD,63,9,NA,859.382459,1129.651571,0
35010,Moreton Bay (R),377991.9941,1024.052201,452,9,81,QLD,67,9,NA,650.8779276,1243.099793,0.002957711
35250,Mornington (S),1139,583.0573144,9,1,2,QLD,7,1,NA,583.0573144,583.0573144,0.009657594
35300,Mount Isa (C),21236.95773,987.3503665,308,6,55,QLD,48,7,NA,626.080248,1148.997794,0
35600,Murweh (S),4613,966.6286389,195,4,35,QLD,35,5,NA,879.095544,1099.645383,0
35670,Napranum (S),854.0091763,589.1445903,12,1,3,QLD,9,2,NA,589.1445903,589.1445903,0.00235264
35760,North Burnett (R),10128,958.256657,151,3,27,QLD,31,5,NA,758.2972384,1091.320753,0
35780,Northern Peninsula Area (R),2299,655.3139836,26,1,5,QLD,15,3,NA,553.4984473,770.4473493,0.011744237
35790,Palm Island (S),2339,527.3130247,4,1,1,QLD,4,1,NA,527.3130247,527.3130247,0
35800,Paroo (S),1865,921.0560619,68,2,13,QLD,24,4,NA,806.1797632,1058.814416,0
36070,Pormpuraaw (S),663,614.433488,17,1,4,QLD,11,2,NA,614.433488,614.433488,0
36150,Quilpie (S),969,954.2602297,138,3,25,QLD,28,4,NA,889.8896229,1036.250456,0
36250,Redland (C),138641,1049.286876,513,10,91,QLD,74,10,NA,809.1773015,1244.638926,0.00193305
36300,Richmond (S),826,985.1799687,298,6,53,QLD,46,7,NA,945.8261459,1024.512404,0.006053269
36360,Rockhampton (R),109369,991.0447825,328,6,59,QLD,51,7,NA,761.6721883,1189.754722,0.00710439
36510,Scenic Rim (R),36427,1016.41758,436,8,78,QLD,64,9,NA,805.067886,1157.962972,0
36580,Somerset (R),21654.00098,996.104456,355,7,63,QLD,56,8,NA,809.1169263,1087.866822,0
36630,South Burnett (R),31006.07241,960.2140335,160,3,29,QLD,32,5,NA,792.0949568,1122.734945,0
36660,Southern Downs (R),33850.29673,969.406562,214,4,38,QLD,38,6,NA,752.9311132,1119.59187,0.00032496
36710,Sunshine Coast (R),306889.007,1006.576285,400,8,71,QLD,61,9,NA,721.966288,1182.346726,0.004265415
36810,Tablelands (R),43762.00498,955.95599,143,3,26,QLD,29,4,NA,603.9044653,1102.076417,0.016247084
36910,Toowoomba (R),151215.4622,994.9364785,346,7,62,QLD,54,8,NA,692.6071873,1179.091132,0.005541761
36950,Torres (S),3255,843.6182944,37,1,7,QLD,17,3,NA,772.9705321,938.1708989,0.011674347
36960,Torres Strait Island (R),4243,624.0067799,21,1,4,QLD,13,2,NA,522.1799293,688.91084,0
37010,Townsville (C),174464.3179,1005.528171,394,7,70,QLD,60,9,NA,628.1124448,1238.3877,0.014553119
37300,Weipa (T),3341.001014,1037.335628,491,9,87,QLD,70,10,NA,1013.94587,1090.257547,0.006884468
37310,Western Downs (R),31609.74394,1000.862814,374,7,67,QLD,58,8,NA,846.6150613,1124.724026,0
37340,Whitsunday (R),31392.99802,988.6800691,317,6,57,QLD,49,7,NA,807.7344416,1139.880665,0.009747397
37400,Winton (S),1338,963.8977973,178,4,32,QLD,34,5,NA,876.6473769,1070.520606,0
37550,Woorabinda (S),941.9715451,512.2794171,2,1,1,QLD,2,1,NA,508.3209109,1060.788931,0
37570,Wujal Wujal (S),269.0010125,617.1229859,19,1,4,QLD,12,2,NA,617.1221967,826.7972147,0
37600,Yarrabah (S),2406,472.1645911,1,1,1,QLD,1,1,NA,469.0038609,474.6790228,0
40070,Adelaide (C),19606,874.303814,43,1,8,SA,5,1,NA,635.1758945,1035.384767,0.034224217
40120,Adelaide Hills (DC),38600.60706,1082.609514,546,10,97,SA,71,10,NA,966.2243712,1156.93342,0.000362689
40220,Alexandrina (DC),23692.69224,1000.020953,370,7,66,SA,50,7,NA,825.0790134,1105.450673,0.000337657
40250,Anangu Pitjantjatjara (AC),2432.999,623.2232525,20,1,4,SA,1,1,NA,488.3433775,843.1097958,0.009863958
40310,Barossa (DC),22174,1027.978887,466,9,83,SA,60,9,NA,895.3338444,1141.35571,0
40430,Barunga West (DC),2467.136503,980.9946496,274,5,49,SA,36,6,NA,864.3364838,1079.482939,0
40520,Berri and Barmera (DC),10590.39663,927.2674587,78,2,14,SA,12,2,NA,765.1236483,1047.425874,0.000660976
40700,Burnside (C),42168,1044.495148,502,9,89,SA,67,10,NA,822.2310161,1152.899806,0
40910,Campbelltown (C),48182,989.5761623,321,6,57,SA,42,6,NA,749.3784583,1142.481958,0
41010,Ceduna (DC),3484.964032,940.5006614,99,2,18,SA,15,3,NA,563.0597964,1050.082009,0
41060,Charles Sturt (C),104921.8142,957.1495661,147,3,27,SA,20,3,NA,655.159427,1104.197968,0.000142946
41140,Clare and Gilbert Valleys (,8749.713578,1003.054095,384,7,68,SA,51,8,NA,837.9648274,1130.055273,0
41190,Cleve (DC),1728.998006,1021.336811,448,8,80,SA,58,9,NA,941.8953392,1096.087102,0
41330,Coober Pedy (DC),1694,870.3099372,41,1,8,SA,3,1,NA,816.7275813,953.9546884,0.014757969
41560,Copper Coast (DC),12928.98774,955.1868559,142,3,26,SA,19,3,NA,827.1541426,1102.587555,0
41750,Elliston (DC),1044.999019,977.6215957,258,5,46,SA,34,5,NA,944.3485615,1056.232324,0
41830,Flinders Ranges (DC),1703,968.7272326,209,4,37,SA,28,4,NA,907.8585359,1047.72813,0
41960,Franklin Harbour (DC),1271.224015,982.6914905,284,6,51,SA,38,6,NA,950.1371833,1026.945924,0
42030,Gawler (T),20545.88418,973.1754286,232,5,42,SA,31,5,NA,745.6385913,1163.317328,0
42110,Goyder (DC),4177.876762,972.1563996,226,5,41,SA,29,5,NA,875.6338142,1051.542893,0
42250,Grant (DC),7840.157556,1046.171585,507,9,90,SA,68,10,NA,910.6529921,1112.477003,0
42600,Holdfast Bay (C),34645.999,991.2308372,329,6,59,SA,45,7,NA,756.833009,1086.526584,0
42750,Kangaroo Island (DC),4415,981.868702,280,5,50,SA,37,6,NA,912.8015974,1076.00958,0
43080,Karoonda East Murray (DC),1035.26403,999.3817604,365,7,65,SA,49,7,NA,967.2379621,1024.589167,0
